Source,Class,ox,Img,Confidence Score
stylegan2,car,0_real,00000.png,5.507690275408095e-06
stylegan2,car,0_real,00001.png,6.175779617478838e-06
stylegan2,car,0_real,00002.png,0.00033259857445955276
stylegan2,car,0_real,00003.png,0.0016802672762423754
stylegan2,car,0_real,00004.png,0.0002461382537148893
stylegan2,car,0_real,00005.png,0.002061610110104084
stylegan2,car,0_real,00006.png,0.0008932604687288404
stylegan2,car,0_real,00007.png,2.6233391281493823e-07
stylegan2,car,0_real,00008.png,0.00020870889420621097
stylegan2,car,0_real,00009.png,0.00022067702957428992
stylegan2,car,0_real,00010.png,0.037986863404512405
stylegan2,car,0_real,00011.png,0.010865147225558758
stylegan2,car,0_real,00012.png,0.0016051862621679902
stylegan2,car,0_real,00013.png,1.234128103533294e-05
stylegan2,car,0_real,00014.png,0.00027150020468980074
stylegan2,car,0_real,00015.png,8.5896608652547e-06
stylegan2,car,0_real,00016.png,1.2576421795529313e-05
stylegan2,car,0_real,00017.png,6.629004201386124e-05
stylegan2,car,0_real,00018.png,0.015263557434082031
stylegan2,car,0_real,00019.png,0.001516119809821248
stylegan2,car,0_real,00020.png,8.413367140747141e-06
stylegan2,car,0_real,00021.png,1.0455903975525871e-05
stylegan2,car,0_real,00022.png,0.0004130086745135486
stylegan2,car,0_real,00023.png,0.0035669635981321335
stylegan2,car,0_real,00024.png,0.012868743389844894
stylegan2,car,0_real,00025.png,0.0015609115362167358
stylegan2,car,0_real,00026.png,0.042654480785131454
stylegan2,car,0_real,00027.png,0.0016744789900258183
stylegan2,car,0_real,00028.png,0.008252105675637722
stylegan2,car,0_real,00029.png,0.04904629662632942
stylegan2,car,0_real,00030.png,0.00021800620015710592
stylegan2,car,0_real,00031.png,0.0009653557208366692
stylegan2,car,0_real,00032.png,0.00044305939809419215
stylegan2,car,0_real,00033.png,6.0744016082026064e-05
stylegan2,car,0_real,00034.png,0.12313583493232727
stylegan2,car,0_real,00035.png,1.9111941583105363e-05
stylegan2,car,0_real,00036.png,0.02304978109896183
stylegan2,car,0_real,00037.png,0.0024678432382643223
stylegan2,car,0_real,00038.png,3.460592415649444e-05
stylegan2,car,0_real,00039.png,0.0020331048872321844
stylegan2,car,0_real,00040.png,0.0005274995346553624
stylegan2,car,0_real,00041.png,3.052059037145227e-05
stylegan2,car,0_real,00042.png,6.910628144396469e-05
stylegan2,car,0_real,00043.png,0.005456642247736454
stylegan2,car,0_real,00044.png,0.0006371375056914985
stylegan2,car,0_real,00045.png,0.00016690324991941452
stylegan2,car,0_real,00046.png,3.782278872677125e-05
stylegan2,car,0_real,00047.png,0.013974633067846298
stylegan2,car,0_real,00048.png,0.00018452503718435764
stylegan2,car,0_real,00049.png,1.8169516806665342e-06
stylegan2,car,0_real,00050.png,0.011068381369113922
stylegan2,car,0_real,00051.png,0.00012929283548146486
stylegan2,car,0_real,00052.png,0.016656892374157906
stylegan2,car,0_real,00053.png,9.330155080533586e-06
stylegan2,car,0_real,00054.png,3.1865743039816152e-06
stylegan2,car,0_real,00055.png,0.011141355149447918
stylegan2,car,0_real,00056.png,0.0009127293596975505
stylegan2,car,0_real,00057.png,0.00010883618233492598
stylegan2,car,0_real,00058.png,0.00016090473218355328
stylegan2,car,0_real,00059.png,8.863379662216175e-06
stylegan2,car,0_real,00060.png,0.003660883055999875
stylegan2,car,0_real,00061.png,5.3818228479940444e-05
stylegan2,car,0_real,00062.png,0.00207797740586102
stylegan2,car,0_real,00063.png,0.0008172352099791169
stylegan2,car,0_real,00064.png,0.08837984502315521
stylegan2,car,0_real,00065.png,0.20191262662410736
stylegan2,car,0_real,00066.png,0.00013063046208117157
stylegan2,car,0_real,00067.png,0.00014253280824050307
stylegan2,car,0_real,00068.png,0.017414230853319168
stylegan2,car,0_real,00069.png,8.559705020161346e-05
stylegan2,car,0_real,00070.png,9.771018812898546e-05
stylegan2,car,0_real,00071.png,0.0003926407953258604
stylegan2,car,0_real,00072.png,0.00413191132247448
stylegan2,car,0_real,00073.png,1.2272118510736618e-05
stylegan2,car,0_real,00074.png,4.219480160827516e-06
stylegan2,car,0_real,00075.png,0.004256502725183964
stylegan2,car,0_real,00076.png,0.030447334051132202
stylegan2,car,0_real,00077.png,0.00014369821292348206
stylegan2,car,0_real,00078.png,0.0003886673948727548
stylegan2,car,0_real,00079.png,3.2534699130337685e-05
stylegan2,car,0_real,00080.png,9.138326277025044e-05
stylegan2,car,0_real,00081.png,8.57818013173528e-05
stylegan2,car,0_real,00082.png,0.012227335944771767
stylegan2,car,0_real,00083.png,0.013036934658885002
stylegan2,car,0_real,00084.png,2.574754944362212e-05
stylegan2,car,0_real,00085.png,0.0001196669036289677
stylegan2,car,0_real,00086.png,0.0013223850401118398
stylegan2,car,0_real,00087.png,0.16401587426662445
stylegan2,car,0_real,00088.png,3.872283969030832e-07
stylegan2,car,0_real,00089.png,6.557306278409669e-06
stylegan2,car,0_real,00090.png,0.00298800365999341
stylegan2,car,0_real,00091.png,0.00043798756087198853
stylegan2,car,0_real,00092.png,0.0011552260257303715
stylegan2,car,0_real,00093.png,0.000520432717166841
stylegan2,car,0_real,00094.png,1.155659333562653e-06
stylegan2,car,0_real,00095.png,0.0011711121769621968
stylegan2,car,0_real,00096.png,6.274678980844328e-06
stylegan2,car,0_real,00097.png,0.002417230512946844
stylegan2,car,0_real,00098.png,0.013907700777053833
stylegan2,car,0_real,00099.png,4.323236737491243e-07
stylegan2,car,0_real,00100.png,1.1351401553838514e-05
stylegan2,car,0_real,00101.png,0.00043377946713007987
stylegan2,car,0_real,00102.png,5.5256376072065905e-05
stylegan2,car,0_real,00103.png,9.336004609394877e-07
stylegan2,car,0_real,00104.png,0.0011401067022234201
stylegan2,car,0_real,00105.png,5.688734745490365e-07
stylegan2,car,0_real,00106.png,0.0009715431951917708
stylegan2,car,0_real,00107.png,0.0008987525361590087
stylegan2,car,0_real,00108.png,0.009602139703929424
stylegan2,car,0_real,00109.png,0.000998964300379157
stylegan2,car,0_real,00110.png,3.146141170873307e-05
stylegan2,car,0_real,00111.png,0.010339158587157726
stylegan2,car,0_real,00112.png,0.0016693121287971735
stylegan2,car,0_real,00113.png,2.60612841884722e-06
stylegan2,car,0_real,00114.png,0.0031309626065194607
stylegan2,car,0_real,00115.png,0.0016557294875383377
stylegan2,car,0_real,00116.png,0.0016323210438713431
stylegan2,car,0_real,00117.png,6.970407866901951e-06
