Source,Class,ox,Img,Confidence Score
stylegan2,cat,0_real,00003.png,1.498883534623019e-06
stylegan2,cat,0_real,00005.png,3.580188376872684e-06
stylegan2,cat,0_real,00035.png,0.0775941014289856
stylegan2,cat,0_real,00037.png,0.011868578381836414
stylegan2,cat,0_real,00040.png,5.5864515161374584e-05
stylegan2,cat,0_real,00049.png,0.0002063457213807851
stylegan2,cat,0_real,00053.png,1.3758933164353948e-05
stylegan2,cat,0_real,00068.png,0.00011876792996190488
stylegan2,cat,0_real,00069.png,0.001119737047702074
stylegan2,cat,0_real,00079.png,0.00026522044208832085
stylegan2,cat,0_real,00091.png,0.0005065902951173484
stylegan2,cat,0_real,00119.png,0.00036228878889232874
stylegan2,cat,0_real,00123.png,2.69330594164785e-05
stylegan2,cat,0_real,00133.png,4.751547021442093e-05
stylegan2,cat,0_real,00134.png,8.065300062298775e-05
stylegan2,cat,0_real,00135.png,0.00028095144079998136
stylegan2,cat,0_real,00171.png,8.379747305298224e-05
stylegan2,cat,0_real,00196.png,1.2886082913610153e-05
stylegan2,cat,0_real,00222.png,5.9206759033259004e-06
stylegan2,cat,0_real,00226.png,0.0010177186923101544
stylegan2,cat,0_real,00245.png,0.011270971968770027
stylegan2,cat,0_real,00253.png,0.00010910697164945304
stylegan2,cat,0_real,00260.png,0.6552141904830933
stylegan2,cat,0_real,00268.png,0.0006140680052340031
stylegan2,cat,0_real,00286.png,0.000326149893226102
stylegan2,cat,0_real,00293.png,0.006249486468732357
stylegan2,cat,0_real,00296.png,9.681272103989613e-07
stylegan2,cat,0_real,00305.png,0.00010926762479357421
stylegan2,cat,0_real,00314.png,0.0008132096263580024
stylegan2,cat,0_real,00316.png,0.0007407194352708757
stylegan2,cat,0_real,00335.png,0.0005341597716324031
stylegan2,cat,0_real,00352.png,1.0762795682239812e-05
stylegan2,cat,0_real,00359.png,2.800893753374112e-06
stylegan2,cat,0_real,00369.png,4.622766573447734e-05
stylegan2,cat,0_real,00377.png,8.54920654091984e-05
stylegan2,cat,0_real,00386.png,1.1899779565283097e-05
stylegan2,cat,0_real,00387.png,0.00034613642492331564
stylegan2,cat,0_real,00404.png,1.7846384707809193e-06
stylegan2,cat,0_real,00430.png,0.00018221329082734883
stylegan2,cat,0_real,00438.png,7.65600343584083e-05
stylegan2,cat,0_real,00443.png,0.0011838834034278989
stylegan2,cat,0_real,00465.png,0.004060191567987204
