Source,Class,ox,Img,Confidence Score
stylegan2,cat,1_fake,000000.png,0.25674113631248474
stylegan2,cat,1_fake,000001.png,0.8273290991783142
stylegan2,cat,1_fake,000002.png,0.12254898995161057
stylegan2,cat,1_fake,000003.png,0.40676605701446533
stylegan2,cat,1_fake,000004.png,0.8624136447906494
stylegan2,cat,1_fake,000005.png,0.43781915307044983
stylegan2,cat,1_fake,000006.png,0.3026628792285919
stylegan2,cat,1_fake,000007.png,0.19015929102897644
stylegan2,cat,1_fake,000008.png,0.012730221264064312
stylegan2,cat,1_fake,000009.png,0.12949436902999878
stylegan2,cat,1_fake,000010.png,0.6853205561637878
stylegan2,cat,1_fake,000011.png,0.9048874378204346
stylegan2,cat,1_fake,000012.png,0.5393848419189453
stylegan2,cat,1_fake,000013.png,0.783521294593811
stylegan2,cat,1_fake,000014.png,0.5529771447181702
stylegan2,cat,1_fake,000015.png,0.361331045627594
stylegan2,cat,1_fake,000016.png,0.15589408576488495
stylegan2,cat,1_fake,000017.png,0.13599444925785065
stylegan2,cat,1_fake,000018.png,0.42812830209732056
stylegan2,cat,1_fake,000019.png,0.5920411944389343
stylegan2,cat,1_fake,000020.png,0.6924266815185547
stylegan2,cat,1_fake,000021.png,0.19389739632606506
stylegan2,cat,1_fake,000022.png,0.03441402316093445
stylegan2,cat,1_fake,000023.png,0.10871727764606476
stylegan2,cat,1_fake,000024.png,0.955471396446228
stylegan2,cat,1_fake,000025.png,0.5726105570793152
stylegan2,cat,1_fake,000026.png,0.13514259457588196
stylegan2,cat,1_fake,000027.png,0.03897744417190552
stylegan2,cat,1_fake,000028.png,0.7532914280891418
stylegan2,cat,1_fake,000029.png,0.9964338541030884
stylegan2,cat,1_fake,000030.png,0.905877947807312
stylegan2,cat,1_fake,000031.png,0.15669633448123932
stylegan2,cat,1_fake,000032.png,0.8923834562301636
stylegan2,cat,1_fake,000033.png,0.9569927453994751
stylegan2,cat,1_fake,000034.png,0.9994366765022278
stylegan2,cat,1_fake,000035.png,0.8490720987319946
stylegan2,cat,1_fake,000036.png,0.9506863355636597
stylegan2,cat,1_fake,000037.png,0.02188383787870407
stylegan2,cat,1_fake,000038.png,0.015562938526272774
stylegan2,cat,1_fake,000039.png,0.004947504494339228
stylegan2,cat,1_fake,000040.png,0.020045984536409378
stylegan2,cat,1_fake,000041.png,0.9588382244110107
stylegan2,cat,1_fake,000042.png,0.108977310359478
stylegan2,cat,1_fake,000043.png,0.010976968333125114
stylegan2,cat,1_fake,000044.png,0.996366024017334
stylegan2,cat,1_fake,000045.png,0.21493354439735413
stylegan2,cat,1_fake,000046.png,0.7384151220321655
stylegan2,cat,1_fake,000047.png,0.7838647961616516
stylegan2,cat,1_fake,000048.png,0.11682524532079697
stylegan2,cat,1_fake,000049.png,0.04472764581441879
stylegan2,cat,1_fake,000050.png,0.3760586977005005
stylegan2,cat,1_fake,000051.png,0.02611532434821129
stylegan2,cat,1_fake,000052.png,0.0043166633695364
stylegan2,cat,1_fake,000053.png,0.017955578863620758
stylegan2,cat,1_fake,000054.png,0.06620655953884125
stylegan2,cat,1_fake,000055.png,0.9703530669212341
stylegan2,cat,1_fake,000056.png,0.6922288537025452
stylegan2,cat,1_fake,000057.png,0.4641728699207306
stylegan2,cat,1_fake,000058.png,0.4112427532672882
stylegan2,cat,1_fake,000059.png,0.36825600266456604
stylegan2,cat,1_fake,000060.png,0.9831611514091492
stylegan2,cat,1_fake,000061.png,0.0153092285618186
stylegan2,cat,1_fake,000062.png,0.007211197633296251
stylegan2,cat,1_fake,000063.png,0.3063887655735016
stylegan2,cat,1_fake,000064.png,0.9429943561553955
stylegan2,cat,1_fake,000065.png,0.050771232694387436
stylegan2,cat,1_fake,000066.png,0.06743723899126053
stylegan2,cat,1_fake,000067.png,0.36489975452423096
stylegan2,cat,1_fake,000068.png,0.8093519806861877
stylegan2,cat,1_fake,000069.png,0.6954667568206787
stylegan2,cat,1_fake,000070.png,0.16750507056713104
stylegan2,cat,1_fake,000071.png,0.35466670989990234
stylegan2,cat,1_fake,000072.png,0.9835672378540039
stylegan2,cat,1_fake,000073.png,0.40688207745552063
stylegan2,cat,1_fake,000074.png,0.8607141375541687
stylegan2,cat,1_fake,000075.png,0.04086596891283989
stylegan2,cat,1_fake,000076.png,0.9987003803253174
stylegan2,cat,1_fake,000077.png,0.9612075090408325
stylegan2,cat,1_fake,000078.png,0.2434019297361374
stylegan2,cat,1_fake,000079.png,0.21732109785079956
stylegan2,cat,1_fake,000080.png,0.44239887595176697
stylegan2,cat,1_fake,000081.png,0.05690362676978111
stylegan2,cat,1_fake,000082.png,0.3394884169101715
stylegan2,cat,1_fake,000083.png,0.49986734986305237
stylegan2,cat,1_fake,000084.png,0.9563407301902771
stylegan2,cat,1_fake,000085.png,0.26402151584625244
stylegan2,cat,1_fake,000086.png,0.14350633323192596
stylegan2,cat,1_fake,000087.png,0.9999394416809082
stylegan2,cat,1_fake,000088.png,0.9990328550338745
stylegan2,cat,1_fake,000089.png,0.9996227025985718
stylegan2,cat,1_fake,000090.png,0.01491419319063425
stylegan2,cat,1_fake,000091.png,0.10762444883584976
stylegan2,cat,1_fake,000092.png,0.6089878082275391
stylegan2,cat,1_fake,000093.png,0.3146849572658539
stylegan2,cat,1_fake,000094.png,0.9994685053825378
stylegan2,cat,1_fake,000095.png,0.3287450969219208
stylegan2,cat,1_fake,000096.png,0.030556034296751022
stylegan2,cat,1_fake,000097.png,0.7678292393684387
stylegan2,cat,1_fake,000098.png,0.7967926263809204
stylegan2,cat,1_fake,000099.png,0.9898808002471924
stylegan2,cat,1_fake,000100.png,0.9995343685150146
stylegan2,cat,1_fake,000101.png,0.9998205304145813
stylegan2,cat,1_fake,000102.png,0.9988310933113098
stylegan2,cat,1_fake,000103.png,0.18106894195079803
stylegan2,cat,1_fake,000104.png,0.8978383541107178
stylegan2,cat,1_fake,000105.png,0.6127762198448181
stylegan2,cat,1_fake,000106.png,0.5070406198501587
stylegan2,cat,1_fake,000107.png,0.6643849611282349
stylegan2,cat,1_fake,000108.png,0.5278779864311218
stylegan2,cat,1_fake,000109.png,0.11498486995697021
stylegan2,cat,1_fake,000110.png,0.0777709037065506
stylegan2,cat,1_fake,000111.png,0.9188351035118103
stylegan2,cat,1_fake,000112.png,0.1340465247631073
stylegan2,cat,1_fake,000113.png,0.999239444732666
stylegan2,cat,1_fake,000114.png,0.519144594669342
stylegan2,cat,1_fake,000115.png,0.9436804056167603
stylegan2,cat,1_fake,000116.png,0.9944489002227783
stylegan2,cat,1_fake,000117.png,0.2534048855304718
stylegan2,cat,1_fake,000118.png,0.6534799933433533
stylegan2,cat,1_fake,000119.png,0.40276795625686646
stylegan2,cat,1_fake,000120.png,0.8852716088294983
stylegan2,cat,1_fake,000121.png,0.011963172815740108
stylegan2,cat,1_fake,000122.png,0.9150107502937317
stylegan2,cat,1_fake,000123.png,0.8186128735542297
stylegan2,cat,1_fake,000124.png,0.9666107892990112
stylegan2,cat,1_fake,000125.png,0.3204666078090668
stylegan2,cat,1_fake,000126.png,0.9668070673942566
stylegan2,cat,1_fake,000127.png,0.21469074487686157
stylegan2,cat,1_fake,000128.png,0.18932631611824036
stylegan2,cat,1_fake,000129.png,0.9999358654022217
stylegan2,cat,1_fake,000130.png,0.046689119189977646
stylegan2,cat,1_fake,000131.png,0.14756150543689728
stylegan2,cat,1_fake,000132.png,0.3710228502750397
stylegan2,cat,1_fake,000133.png,0.56074458360672
stylegan2,cat,1_fake,000134.png,0.9821217060089111
stylegan2,cat,1_fake,000135.png,0.7514611482620239
stylegan2,cat,1_fake,000136.png,0.5852391719818115
stylegan2,cat,1_fake,000137.png,0.4110143184661865
stylegan2,cat,1_fake,000138.png,0.8204435706138611
stylegan2,cat,1_fake,000139.png,0.948005735874176
stylegan2,cat,1_fake,000140.png,0.14156779646873474
stylegan2,cat,1_fake,000141.png,0.7836883664131165
stylegan2,cat,1_fake,000142.png,0.5302486419677734
stylegan2,cat,1_fake,000143.png,0.2544761300086975
stylegan2,cat,1_fake,000144.png,0.049669019877910614
stylegan2,cat,1_fake,000145.png,0.2699126899242401
stylegan2,cat,1_fake,000146.png,0.8980060815811157
stylegan2,cat,1_fake,000147.png,0.051975104957818985
stylegan2,cat,1_fake,000148.png,0.9999451637268066
stylegan2,cat,1_fake,000149.png,0.0106393126770854
stylegan2,cat,1_fake,000150.png,0.9369625449180603
stylegan2,cat,1_fake,000151.png,0.026305073872208595
stylegan2,cat,1_fake,000152.png,0.5323050022125244
stylegan2,cat,1_fake,000153.png,0.05016253516077995
stylegan2,cat,1_fake,000154.png,0.5052332282066345
stylegan2,cat,1_fake,000155.png,0.8849000334739685
stylegan2,cat,1_fake,000156.png,0.1330661177635193
stylegan2,cat,1_fake,000157.png,0.5570928454399109
stylegan2,cat,1_fake,000158.png,0.6620355248451233
stylegan2,cat,1_fake,000159.png,0.169509619474411
stylegan2,cat,1_fake,000160.png,0.31282439827919006
stylegan2,cat,1_fake,000161.png,0.28836655616760254
stylegan2,cat,1_fake,000162.png,0.9992166757583618
stylegan2,cat,1_fake,000163.png,0.5735186338424683
stylegan2,cat,1_fake,000164.png,0.9984228610992432
stylegan2,cat,1_fake,000165.png,0.015748415142297745
stylegan2,cat,1_fake,000166.png,0.9560961723327637
stylegan2,cat,1_fake,000167.png,0.1587262898683548
stylegan2,cat,1_fake,000168.png,0.9927467703819275
stylegan2,cat,1_fake,000169.png,0.454529732465744
stylegan2,cat,1_fake,000170.png,0.611054539680481
stylegan2,cat,1_fake,000171.png,0.8395451307296753
stylegan2,cat,1_fake,000172.png,0.675459623336792
stylegan2,cat,1_fake,000173.png,0.7429013848304749
stylegan2,cat,1_fake,000174.png,0.995495080947876
stylegan2,cat,1_fake,000175.png,0.06418081372976303
stylegan2,cat,1_fake,000176.png,0.16835209727287292
stylegan2,cat,1_fake,000177.png,0.978321373462677
stylegan2,cat,1_fake,000178.png,0.6149464249610901
stylegan2,cat,1_fake,000179.png,0.7729658484458923
stylegan2,cat,1_fake,000180.png,0.47146210074424744
stylegan2,cat,1_fake,000181.png,0.20582503080368042
stylegan2,cat,1_fake,000182.png,0.9824917912483215
stylegan2,cat,1_fake,000183.png,0.02317979373037815
stylegan2,cat,1_fake,000184.png,0.8341480493545532
stylegan2,cat,1_fake,000185.png,0.9796947836875916
stylegan2,cat,1_fake,000186.png,0.1165512353181839
stylegan2,cat,1_fake,000187.png,0.011416745372116566
stylegan2,cat,1_fake,000188.png,0.9995428323745728
stylegan2,cat,1_fake,000189.png,0.4044007658958435
stylegan2,cat,1_fake,000190.png,0.8755230903625488
stylegan2,cat,1_fake,000191.png,0.017709163948893547
stylegan2,cat,1_fake,000192.png,0.0767994150519371
stylegan2,cat,1_fake,000193.png,0.04654994234442711
stylegan2,cat,1_fake,000194.png,0.08529962599277496
stylegan2,cat,1_fake,000195.png,0.9981123208999634
stylegan2,cat,1_fake,000196.png,0.14234548807144165
