Source,Class,ox,Img,Confidence Score
stylegan2,church,0_real,00003.png,0.00016109878197312355
stylegan2,church,0_real,00005.png,6.912796379765496e-05
stylegan2,church,0_real,00035.png,4.576691935653798e-05
stylegan2,church,0_real,00037.png,2.5283977720391704e-06
stylegan2,church,0_real,00040.png,0.0001505822001490742
stylegan2,church,0_real,00049.png,0.000323102722177282
stylegan2,church,0_real,00053.png,1.7795175153878517e-05
stylegan2,church,0_real,00068.png,0.0001655657688388601
stylegan2,church,0_real,00069.png,0.00014994946832302958
stylegan2,church,0_real,00079.png,0.00020529836183413863
stylegan2,church,0_real,00091.png,0.003312117187306285
stylegan2,church,0_real,00119.png,0.0008313079015351832
stylegan2,church,0_real,00123.png,3.1806826882530004e-05
stylegan2,church,0_real,00133.png,0.001107167568989098
stylegan2,church,0_real,00134.png,0.00010868051322177052
stylegan2,church,0_real,00135.png,8.754347800277174e-05
stylegan2,church,0_real,00171.png,0.0010545734548941255
stylegan2,church,0_real,00196.png,0.00242448877543211
stylegan2,church,0_real,00222.png,0.000461736781289801
stylegan2,church,0_real,00226.png,1.3351971574593335e-05
stylegan2,church,0_real,00245.png,0.0002807131386362016
stylegan2,church,0_real,00253.png,0.0003885691985487938
stylegan2,church,0_real,00260.png,0.00014885082782711834
stylegan2,church,0_real,00268.png,7.968797581270337e-05
stylegan2,church,0_real,00286.png,6.92081666784361e-05
stylegan2,church,0_real,00293.png,0.00030498843989335
stylegan2,church,0_real,00296.png,0.0001045662138494663
stylegan2,church,0_real,00305.png,9.250656876247376e-05
stylegan2,church,0_real,00314.png,0.0004705112660303712
stylegan2,church,0_real,00316.png,2.061034865619149e-05
stylegan2,church,0_real,00335.png,1.4786497558816336e-05
stylegan2,church,0_real,00352.png,9.681111259851605e-05
stylegan2,church,0_real,00359.png,7.411215847241692e-06
stylegan2,church,0_real,00369.png,0.00018290226580575109
stylegan2,church,0_real,00377.png,0.0007567843422293663
stylegan2,church,0_real,00386.png,9.213496377924457e-05
stylegan2,church,0_real,00387.png,1.076873013516888e-05
stylegan2,church,0_real,00404.png,0.0001399223692715168
stylegan2,church,0_real,00430.png,0.00025272686616517603
stylegan2,church,0_real,00438.png,0.0010939493076875806
stylegan2,church,0_real,00443.png,4.957544297212735e-05
stylegan2,church,0_real,00465.png,4.483293378143571e-05
stylegan2,church,0_real,00467.png,6.573832797585055e-05
stylegan2,church,0_real,00481.png,7.025411832728423e-06
stylegan2,church,0_real,00482.png,0.00042154875700362027
stylegan2,church,0_real,00486.png,1.1507758301831927e-07
stylegan2,church,0_real,00500.png,2.0033900000271387e-05
stylegan2,church,0_real,00508.png,0.0014752839924767613
stylegan2,church,0_real,00518.png,3.48660942108836e-05
stylegan2,church,0_real,00519.png,3.6321114748716354e-05
stylegan2,church,0_real,00530.png,7.732427184237167e-05
stylegan2,church,0_real,00540.png,2.224922809546115e-06
stylegan2,church,0_real,00543.png,0.001208779402077198
stylegan2,church,0_real,00550.png,2.4338020011782646e-05
stylegan2,church,0_real,00561.png,0.0027395307552069426
stylegan2,church,0_real,00572.png,0.005751247052103281
stylegan2,church,0_real,00592.png,0.002441544085741043
stylegan2,church,0_real,00624.png,6.359316466841847e-05
stylegan2,church,0_real,00642.png,0.00046529818791896105
stylegan2,church,0_real,00659.png,0.00025565054966136813
stylegan2,church,0_real,00680.png,5.5162137869047e-05
stylegan2,church,0_real,00698.png,0.002254585037007928
stylegan2,church,0_real,00706.png,7.303132406377699e-06
stylegan2,church,0_real,00715.png,0.0017749039689078927
stylegan2,church,0_real,00719.png,0.00022959600028116256
stylegan2,church,0_real,00723.png,0.0002732979191932827
stylegan2,church,0_real,00728.png,0.042221907526254654
stylegan2,church,0_real,00737.png,0.00013729622878599912
stylegan2,church,0_real,00746.png,0.0001325796911260113
stylegan2,church,0_real,00755.png,0.00013159462832845747
stylegan2,church,0_real,00757.png,8.194173460651655e-06
stylegan2,church,0_real,00759.png,2.3623993911314756e-05
stylegan2,church,0_real,00771.png,0.00021671818103641272
stylegan2,church,0_real,00786.png,0.00015983419143594801
stylegan2,church,0_real,00795.png,0.011323903687298298
stylegan2,church,0_real,00807.png,4.199920567771187e-06
stylegan2,church,0_real,00810.png,7.378817099379376e-05
stylegan2,church,0_real,00812.png,0.009953799657523632
stylegan2,church,0_real,00818.png,0.00030022082501091063
stylegan2,church,0_real,00820.png,0.00011281276238150895
stylegan2,church,0_real,00834.png,0.0017368391854688525
stylegan2,church,0_real,00849.png,0.014788908883929253
stylegan2,church,0_real,00855.png,0.00044470009743236005
stylegan2,church,0_real,00858.png,0.0020793245639652014
stylegan2,church,0_real,00880.png,0.00035933832987211645
stylegan2,church,0_real,00884.png,0.004397619515657425
stylegan2,church,0_real,00890.png,0.001339432317763567
stylegan2,church,0_real,00893.png,0.00022634067863691598
stylegan2,church,0_real,00895.png,0.00022199134400580078
stylegan2,church,0_real,00902.png,3.831919457297772e-05
