Source,Class,ox,Img,Confidence Score
stylegan2,horse,0_real,00003.png,0.0011130627244710922
stylegan2,horse,0_real,00005.png,0.002005796181038022
stylegan2,horse,0_real,00035.png,0.019690684974193573
stylegan2,horse,0_real,00037.png,3.15153447445482e-05
stylegan2,horse,0_real,00040.png,1.0795813977892976e-05
stylegan2,horse,0_real,00049.png,0.003226672997698188
stylegan2,horse,0_real,00053.png,0.026848629117012024
stylegan2,horse,0_real,00068.png,0.00017527214367873967
stylegan2,horse,0_real,00069.png,0.00226919655688107
stylegan2,horse,0_real,00079.png,0.000540010049007833
stylegan2,horse,0_real,00091.png,0.00037411414086818695
stylegan2,horse,0_real,00119.png,0.030578842386603355
stylegan2,horse,0_real,00123.png,1.8965311028296128e-05
stylegan2,horse,0_real,00133.png,3.676912092487328e-05
stylegan2,horse,0_real,00134.png,4.7749581426614895e-05
stylegan2,horse,0_real,00135.png,0.0016839803429320455
stylegan2,horse,0_real,00171.png,1.1205265764147043e-05
stylegan2,horse,0_real,00196.png,0.0005921981064602733
stylegan2,horse,0_real,00222.png,0.00034371556830592453
stylegan2,horse,0_real,00226.png,1.2927377611049451e-05
stylegan2,horse,0_real,00245.png,0.0005249379901215434
stylegan2,horse,0_real,00253.png,0.0034912307746708393
stylegan2,horse,0_real,00260.png,0.0004036775790154934
stylegan2,horse,0_real,00268.png,0.01365375891327858
stylegan2,horse,0_real,00286.png,8.238028385676444e-06
stylegan2,horse,0_real,00293.png,4.955824806529563e-06
stylegan2,horse,0_real,00296.png,0.0004177671507932246
stylegan2,horse,0_real,00305.png,0.00011161508882651106
stylegan2,horse,0_real,00314.png,0.00014004904369357973
stylegan2,horse,0_real,00316.png,0.0003483537584543228
stylegan2,horse,0_real,00335.png,7.33579508960247e-05
stylegan2,horse,0_real,00352.png,3.2552510674577206e-05
stylegan2,horse,0_real,00359.png,7.477909093722701e-05
stylegan2,horse,0_real,00369.png,6.985907475609565e-06
stylegan2,horse,0_real,00377.png,0.000515767140313983
stylegan2,horse,0_real,00386.png,0.0001859599578892812
stylegan2,horse,0_real,00387.png,0.006510511972010136
stylegan2,horse,0_real,00404.png,0.00023138508549891412
stylegan2,horse,0_real,00430.png,0.001544859493151307
stylegan2,horse,0_real,00438.png,7.446712697856128e-05
stylegan2,horse,0_real,00443.png,3.377846223884262e-05
stylegan2,horse,0_real,00465.png,0.009772218763828278
stylegan2,horse,0_real,00467.png,8.107356552500278e-05
stylegan2,horse,0_real,00481.png,1.1279328646196518e-05
stylegan2,horse,0_real,00482.png,0.00011247130169067532
stylegan2,horse,0_real,00486.png,6.92383309797151e-06
stylegan2,horse,0_real,00500.png,0.0005038626259192824
stylegan2,horse,0_real,00508.png,0.00043791570351459086
stylegan2,horse,0_real,00518.png,9.673376553109847e-06
stylegan2,horse,0_real,00519.png,2.4682316507096402e-05
stylegan2,horse,0_real,00530.png,0.018715517595410347
stylegan2,horse,0_real,00540.png,0.09722340106964111
stylegan2,horse,0_real,00543.png,5.546056854655035e-05
stylegan2,horse,0_real,00550.png,8.104658627416939e-05
stylegan2,horse,0_real,00561.png,4.618448201654246e-06
stylegan2,horse,0_real,00572.png,0.004820658825337887
stylegan2,horse,0_real,00592.png,0.1000090166926384
stylegan2,horse,0_real,00624.png,0.0008690124959684908
stylegan2,horse,0_real,00642.png,0.0001879158226074651
