Source,Class,ox,Img,Confidence Score
stylegan2,horse,1_fake,000000.png,0.17034415900707245
stylegan2,horse,1_fake,000001.png,0.930490255355835
stylegan2,horse,1_fake,000002.png,0.14257369935512543
stylegan2,horse,1_fake,000003.png,0.9910923838615417
stylegan2,horse,1_fake,000004.png,0.8709635734558105
stylegan2,horse,1_fake,000005.png,0.023103056475520134
stylegan2,horse,1_fake,000006.png,0.3834783136844635
stylegan2,horse,1_fake,000007.png,0.22967416048049927
stylegan2,horse,1_fake,000008.png,0.9121002554893494
stylegan2,horse,1_fake,000009.png,0.0019016892183572054
stylegan2,horse,1_fake,000010.png,0.0004616611113306135
stylegan2,horse,1_fake,000011.png,0.29132166504859924
stylegan2,horse,1_fake,000012.png,0.29730138182640076
stylegan2,horse,1_fake,000013.png,0.20980750024318695
stylegan2,horse,1_fake,000014.png,0.461282879114151
stylegan2,horse,1_fake,000015.png,0.7476528286933899
stylegan2,horse,1_fake,000016.png,0.33484750986099243
stylegan2,horse,1_fake,000017.png,0.22289206087589264
stylegan2,horse,1_fake,000018.png,0.9991998076438904
stylegan2,horse,1_fake,000019.png,0.25592562556266785
stylegan2,horse,1_fake,000020.png,0.12305537611246109
stylegan2,horse,1_fake,000021.png,0.29818981885910034
stylegan2,horse,1_fake,000022.png,0.9985072016716003
stylegan2,horse,1_fake,000023.png,0.08269459754228592
stylegan2,horse,1_fake,000024.png,0.9935196042060852
stylegan2,horse,1_fake,000025.png,0.7308007478713989
stylegan2,horse,1_fake,000026.png,0.8679961562156677
stylegan2,horse,1_fake,000027.png,0.015822065994143486
stylegan2,horse,1_fake,000028.png,0.9158782958984375
stylegan2,horse,1_fake,000029.png,0.8569468259811401
stylegan2,horse,1_fake,000030.png,0.9998694658279419
stylegan2,horse,1_fake,000031.png,0.695868194103241
stylegan2,horse,1_fake,000032.png,0.18996551632881165
stylegan2,horse,1_fake,000033.png,0.18462219834327698
stylegan2,horse,1_fake,000034.png,0.053867992013692856
stylegan2,horse,1_fake,000035.png,0.7016518115997314
stylegan2,horse,1_fake,000036.png,0.18589355051517487
stylegan2,horse,1_fake,000037.png,0.2520437240600586
stylegan2,horse,1_fake,000038.png,0.15622703731060028
stylegan2,horse,1_fake,000039.png,0.40622350573539734
stylegan2,horse,1_fake,000040.png,0.556742250919342
stylegan2,horse,1_fake,000041.png,0.005157741252332926
stylegan2,horse,1_fake,000042.png,0.28162944316864014
stylegan2,horse,1_fake,000043.png,0.028786547482013702
stylegan2,horse,1_fake,000044.png,0.2195749282836914
stylegan2,horse,1_fake,000045.png,0.41997817158699036
stylegan2,horse,1_fake,000046.png,0.9891858100891113
stylegan2,horse,1_fake,000047.png,0.0018833866342902184
stylegan2,horse,1_fake,000048.png,0.7245551347732544
stylegan2,horse,1_fake,000049.png,0.9849898815155029
stylegan2,horse,1_fake,000050.png,0.8796462416648865
stylegan2,horse,1_fake,000051.png,0.999988317489624
stylegan2,horse,1_fake,000052.png,0.7305600643157959
stylegan2,horse,1_fake,000053.png,0.2702588140964508
stylegan2,horse,1_fake,000054.png,0.90633225440979
stylegan2,horse,1_fake,000055.png,0.8716351389884949
stylegan2,horse,1_fake,000056.png,0.025312822312116623
stylegan2,horse,1_fake,000057.png,0.9731274843215942
stylegan2,horse,1_fake,000058.png,0.9953250885009766
stylegan2,horse,1_fake,000059.png,0.08753234148025513
stylegan2,horse,1_fake,000060.png,0.8989603519439697
stylegan2,horse,1_fake,000061.png,0.3672804534435272
stylegan2,horse,1_fake,000062.png,0.6649175882339478
stylegan2,horse,1_fake,000063.png,0.6195990443229675
stylegan2,horse,1_fake,000064.png,0.05948619544506073
stylegan2,horse,1_fake,000065.png,0.31962671875953674
stylegan2,horse,1_fake,000066.png,0.0879519134759903
stylegan2,horse,1_fake,000067.png,0.7695081233978271
stylegan2,horse,1_fake,000068.png,0.23403875529766083
stylegan2,horse,1_fake,000069.png,0.5550455451011658
stylegan2,horse,1_fake,000070.png,0.16156810522079468
stylegan2,horse,1_fake,000071.png,0.6954835057258606
stylegan2,horse,1_fake,000072.png,0.055512938648462296
stylegan2,horse,1_fake,000073.png,0.024412957951426506
stylegan2,horse,1_fake,000074.png,0.03400537744164467
stylegan2,horse,1_fake,000075.png,0.6820288896560669
stylegan2,horse,1_fake,000076.png,0.6364889740943909
stylegan2,horse,1_fake,000077.png,0.04707396402955055
stylegan2,horse,1_fake,000078.png,0.026684973388910294
stylegan2,horse,1_fake,000079.png,0.030835427343845367
stylegan2,horse,1_fake,000080.png,0.970698356628418
stylegan2,horse,1_fake,000081.png,0.9775890111923218
stylegan2,horse,1_fake,000082.png,0.017273128032684326
stylegan2,horse,1_fake,000083.png,0.8560715317726135
stylegan2,horse,1_fake,000084.png,0.4441812038421631
stylegan2,horse,1_fake,000085.png,0.9999850988388062
stylegan2,horse,1_fake,000086.png,0.5899510383605957
stylegan2,horse,1_fake,000087.png,0.8731802105903625
stylegan2,horse,1_fake,000088.png,0.20410770177841187
stylegan2,horse,1_fake,000089.png,0.21046863496303558
stylegan2,horse,1_fake,000090.png,0.1916293352842331
stylegan2,horse,1_fake,000091.png,0.9272721409797668
stylegan2,horse,1_fake,000092.png,0.012969342060387135
stylegan2,horse,1_fake,000093.png,0.005602013785392046
stylegan2,horse,1_fake,000094.png,0.03395331650972366
stylegan2,horse,1_fake,000095.png,0.2704911530017853
stylegan2,horse,1_fake,000096.png,0.9744908213615417
stylegan2,horse,1_fake,000097.png,0.9757393598556519
stylegan2,horse,1_fake,000098.png,0.00748372171074152
stylegan2,horse,1_fake,000099.png,0.8513997793197632
stylegan2,horse,1_fake,000100.png,0.10767058283090591
stylegan2,horse,1_fake,000101.png,0.9949731826782227
stylegan2,horse,1_fake,000102.png,0.9998140931129456
stylegan2,horse,1_fake,000103.png,0.9362910389900208
stylegan2,horse,1_fake,000104.png,0.9985321760177612
stylegan2,horse,1_fake,000105.png,0.36614784598350525
stylegan2,horse,1_fake,000106.png,0.03755832463502884
stylegan2,horse,1_fake,000107.png,0.3946453034877777
stylegan2,horse,1_fake,000108.png,0.09296705573797226
stylegan2,horse,1_fake,000109.png,0.08598638325929642
stylegan2,horse,1_fake,000110.png,0.0035869907587766647
stylegan2,horse,1_fake,000111.png,0.13622219860553741
stylegan2,horse,1_fake,000112.png,0.8471007347106934
stylegan2,horse,1_fake,000113.png,0.030190827324986458
stylegan2,horse,1_fake,000114.png,0.4160696268081665
stylegan2,horse,1_fake,000115.png,0.9819053411483765
stylegan2,horse,1_fake,000116.png,0.4328031539916992
stylegan2,horse,1_fake,000117.png,0.21167053282260895
stylegan2,horse,1_fake,000118.png,0.9957082271575928
stylegan2,horse,1_fake,000119.png,0.10239682346582413
stylegan2,horse,1_fake,000120.png,0.0649491623044014
stylegan2,horse,1_fake,000121.png,0.9610433578491211
stylegan2,horse,1_fake,000122.png,0.2102690488100052
stylegan2,horse,1_fake,000123.png,0.9556082487106323
stylegan2,horse,1_fake,000124.png,0.7835592031478882
stylegan2,horse,1_fake,000125.png,0.9987244009971619
stylegan2,horse,1_fake,000126.png,0.992468535900116
stylegan2,horse,1_fake,000127.png,0.25626900792121887
stylegan2,horse,1_fake,000128.png,0.991184651851654
stylegan2,horse,1_fake,000129.png,0.8510492444038391
stylegan2,horse,1_fake,000130.png,0.9999532699584961
stylegan2,horse,1_fake,000131.png,0.9998481273651123
stylegan2,horse,1_fake,000132.png,0.41135814785957336
stylegan2,horse,1_fake,000133.png,0.003857043106108904
stylegan2,horse,1_fake,000134.png,0.02148011513054371
stylegan2,horse,1_fake,000135.png,0.01441773772239685
stylegan2,horse,1_fake,000136.png,0.9989277720451355
stylegan2,horse,1_fake,000137.png,0.7722213864326477
stylegan2,horse,1_fake,000138.png,0.39259445667266846
stylegan2,horse,1_fake,000139.png,0.10334862768650055
stylegan2,horse,1_fake,000140.png,0.0031402437016367912
stylegan2,horse,1_fake,000141.png,0.19386009871959686
stylegan2,horse,1_fake,000142.png,0.9973006844520569
stylegan2,horse,1_fake,000143.png,0.08699625730514526
stylegan2,horse,1_fake,000144.png,0.19349558651447296
stylegan2,horse,1_fake,000145.png,0.9767568707466125
stylegan2,horse,1_fake,000146.png,0.9181152582168579
stylegan2,horse,1_fake,000147.png,0.030542917549610138
stylegan2,horse,1_fake,000148.png,0.565185010433197
stylegan2,horse,1_fake,000149.png,0.022570805624127388
stylegan2,horse,1_fake,000150.png,0.9872920513153076
stylegan2,horse,1_fake,000151.png,0.06533462554216385
stylegan2,horse,1_fake,000152.png,0.8876780271530151
stylegan2,horse,1_fake,000153.png,0.19787898659706116
stylegan2,horse,1_fake,000154.png,0.9963061809539795
stylegan2,horse,1_fake,000155.png,0.9974895715713501
stylegan2,horse,1_fake,000156.png,0.9879246950149536
stylegan2,horse,1_fake,000157.png,0.2904166579246521
stylegan2,horse,1_fake,000158.png,0.3553532361984253
stylegan2,horse,1_fake,000159.png,0.4225648045539856
stylegan2,horse,1_fake,000160.png,0.251607209444046
stylegan2,horse,1_fake,000161.png,0.8726211786270142
stylegan2,horse,1_fake,000162.png,0.511034369468689
stylegan2,horse,1_fake,000163.png,0.970949649810791
stylegan2,horse,1_fake,000164.png,0.36126628518104553
stylegan2,horse,1_fake,000165.png,0.9583656191825867
stylegan2,horse,1_fake,000166.png,0.011817741207778454
stylegan2,horse,1_fake,000167.png,0.7702023386955261
stylegan2,horse,1_fake,000168.png,0.6323091983795166
stylegan2,horse,1_fake,000169.png,0.5170083045959473
stylegan2,horse,1_fake,000170.png,0.28179606795310974
stylegan2,horse,1_fake,000171.png,0.30409640073776245
stylegan2,horse,1_fake,000172.png,0.009156357496976852
stylegan2,horse,1_fake,000173.png,0.36764347553253174
stylegan2,horse,1_fake,000174.png,0.6422190070152283
stylegan2,horse,1_fake,000175.png,0.2738088071346283
stylegan2,horse,1_fake,000176.png,0.9994352459907532
stylegan2,horse,1_fake,000177.png,0.05720170959830284
stylegan2,horse,1_fake,000178.png,0.9957180619239807
stylegan2,horse,1_fake,000179.png,0.36000704765319824
stylegan2,horse,1_fake,000180.png,0.3564032018184662
stylegan2,horse,1_fake,000181.png,0.44697195291519165
stylegan2,horse,1_fake,000182.png,0.2086588591337204
stylegan2,horse,1_fake,000183.png,0.8517947793006897
stylegan2,horse,1_fake,000184.png,0.6903246641159058
stylegan2,horse,1_fake,000185.png,0.36530739068984985
stylegan2,horse,1_fake,000186.png,0.13511541485786438
stylegan2,horse,1_fake,000187.png,0.03290664404630661
stylegan2,horse,1_fake,000188.png,0.7615353465080261
stylegan2,horse,1_fake,000189.png,0.0956086590886116
stylegan2,horse,1_fake,000190.png,0.999211311340332
stylegan2,horse,1_fake,000191.png,0.9640624523162842
stylegan2,horse,1_fake,000192.png,0.01838766038417816
stylegan2,horse,1_fake,000193.png,0.2853947579860687
stylegan2,horse,1_fake,000194.png,0.013287290930747986
stylegan2,horse,1_fake,000195.png,0.04258082062005997
stylegan2,horse,1_fake,000196.png,0.8928819298744202
stylegan2,horse,1_fake,000197.png,0.026152582839131355
stylegan2,horse,1_fake,000198.png,0.39634886384010315
stylegan2,horse,1_fake,000199.png,0.2670419216156006
stylegan2,horse,1_fake,000200.png,0.9999520778656006
stylegan2,horse,1_fake,000201.png,0.2765718102455139
stylegan2,horse,1_fake,000202.png,0.10670272260904312
stylegan2,horse,1_fake,000203.png,0.31050580739974976
stylegan2,horse,1_fake,000204.png,0.8145202398300171
stylegan2,horse,1_fake,000205.png,0.21503697335720062
stylegan2,horse,1_fake,000206.png,0.02938976138830185
stylegan2,horse,1_fake,000207.png,0.3754565417766571
stylegan2,horse,1_fake,000208.png,0.15569497644901276
stylegan2,horse,1_fake,000209.png,0.8524272441864014
stylegan2,horse,1_fake,000210.png,0.2157324105501175
stylegan2,horse,1_fake,000211.png,0.9081100225448608
stylegan2,horse,1_fake,000212.png,0.8101553916931152
stylegan2,horse,1_fake,000213.png,0.6602351069450378
stylegan2,horse,1_fake,000214.png,0.9700194597244263
stylegan2,horse,1_fake,000215.png,0.986283540725708
stylegan2,horse,1_fake,000216.png,0.5032132863998413
stylegan2,horse,1_fake,000217.png,0.25158053636550903
stylegan2,horse,1_fake,000218.png,0.6341996788978577
stylegan2,horse,1_fake,000219.png,0.6325600743293762
stylegan2,horse,1_fake,000220.png,0.4180333614349365
stylegan2,horse,1_fake,000221.png,0.961510956287384
